STRINGMAPID,VALUE,ATTRIBUTENAME,OBJECTTYPECODE,ORGANIZATIONID,VERSIONNUMBER,LANGID,ATTRIBUTEVALUE,DISPLAYORDER,_FIVETRAN_DELETED,_FIVETRAN_SYNCED
d3da25fa-7c39-ed11-9db0-00224809bf1b,Installing,statuscode,msdynmkt_cmsaddon,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892954552,1033,534120003,4,FALSE,2022-09-21T11:01:26.058Z
cfda25fa-7c39-ed11-9db0-00224809bf1b,Inactive,statecode,msdynmkt_cmsaddon,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892954548,1033,1,2,FALSE,2022-09-21T11:01:26.058Z
d0da25fa-7c39-ed11-9db0-00224809bf1b,None,statuscode,msdynmkt_cmsaddon,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892954549,1033,534120000,1,FALSE,2022-09-21T11:01:26.058Z
13cacb9e-5b39-ed11-9db0-00224809bc8a,Installing,msdyncrm_librarystatus,msdyncrm_digitalassetsconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892655031,1033,270100002,3,FALSE,2022-09-21T11:01:26.058Z
0fcacb9e-5b39-ed11-9db0-00224809bc8a,DigitalAssets,msdyncrm_usedlibrary,msdyncrm_digitalassetsconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892655027,1033,270100001,2,FALSE,2022-09-21T11:01:26.058Z
10cacb9e-5b39-ed11-9db0-00224809bc8a,CMS,msdyncrm_usedlibrary,msdyncrm_digitalassetsconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892655028,1033,270100002,3,FALSE,2022-09-21T11:01:26.058Z
d5da25fa-7c39-ed11-9db0-00224809bf1b,Disabled,statuscode,msdynmkt_cmsaddon,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892954554,1033,534120005,6,FALSE,2022-09-21T11:01:26.058Z
08b454bc-7d39-ed11-9db0-00224809bf1b,On,msdynmkt_tracking,msdynmkt_imagestyle,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892960451,1033,1,1,FALSE,2022-09-21T11:01:26.058Z
d2da25fa-7c39-ed11-9db0-00224809bf1b,Failed,statuscode,msdynmkt_cmsaddon,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892954551,1033,534120002,3,FALSE,2022-09-21T11:01:26.058Z
ceda25fa-7c39-ed11-9db0-00224809bf1b,Active,statecode,msdynmkt_cmsaddon,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892954547,1033,0,1,FALSE,2022-09-21T11:01:26.058Z
15cacb9e-5b39-ed11-9db0-00224809bc8a,Failed,msdyncrm_librarystatus,msdyncrm_digitalassetsconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892655033,1033,270100004,5,FALSE,2022-09-21T11:01:26.058Z
12cacb9e-5b39-ed11-9db0-00224809bc8a,Ready,msdyncrm_librarystatus,msdyncrm_digitalassetsconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892655030,1033,270100001,2,FALSE,2022-09-21T11:01:26.058Z
0ecacb9e-5b39-ed11-9db0-00224809bc8a,Unknown,msdyncrm_usedlibrary,msdyncrm_digitalassetsconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892655026,1033,270100000,1,FALSE,2022-09-21T11:01:26.058Z
d4da25fa-7c39-ed11-9db0-00224809bf1b,Uninstalling,statuscode,msdynmkt_cmsaddon,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892954553,1033,534120004,5,FALSE,2022-09-21T11:01:26.058Z
d1da25fa-7c39-ed11-9db0-00224809bf1b,Installed,statuscode,msdynmkt_cmsaddon,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892954550,1033,534120001,2,FALSE,2022-09-21T11:01:26.058Z
14cacb9e-5b39-ed11-9db0-00224809bc8a,Uninstalling,msdyncrm_librarystatus,msdyncrm_digitalassetsconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892655032,1033,270100003,4,FALSE,2022-09-21T11:01:26.058Z
11cacb9e-5b39-ed11-9db0-00224809bc8a,Unknown,msdyncrm_librarystatus,msdyncrm_digitalassetsconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892655029,1033,270100000,1,FALSE,2022-09-21T11:01:26.058Z
d6da25fa-7c39-ed11-9db0-00224809bf1b,Inactive,statuscode,msdynmkt_cmsaddon,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892954555,1033,2,7,FALSE,2022-09-21T11:01:26.058Z
09b454bc-7d39-ed11-9db0-00224809bf1b,Off,msdynmkt_tracking,msdynmkt_imagestyle,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1892960452,1033,0,2,FALSE,2022-09-21T11:01:26.058Z
759d6cfe-0436-ed11-9db1-000d3a5a6570,No,vms_allowothermetrics,msdyn_workorder,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1889194200,1033,0,1,FALSE,2022-09-21T11:01:23.472Z
769d6cfe-0436-ed11-9db1-000d3a5a6570,Yes,vms_allowothermetrics,msdyn_workorder,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1889194201,1033,1,2,FALSE,2022-09-21T11:01:23.472Z
816dd613-4e34-ed11-9db1-000d3a5a6937,Requirement Change,targetentity,importmap,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886057399,1033,11553,1001,FALSE,2022-09-21T11:01:23.472Z
f02ada0c-4e34-ed11-9db1-000d3a5a6937,Requirement Change,msdyn_activityType,msdyn_playbookactivity,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886056709,1033,11553,1001,FALSE,2022-09-21T11:01:23.472Z
00b0d21a-4e34-ed11-9db1-000d3a5a6937,Requirement Change,matchingentitytypecode,similarityrule,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886060541,1033,11553,1001,FALSE,2022-09-21T11:01:23.472Z
4ed20d21-4e34-ed11-9db1-000d3a5a6937,Requirement Change,matchingentitytypecode,duplicaterule,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886061636,1033,11553,1001,FALSE,2022-09-21T11:01:23.472Z
87300627-4e34-ed11-9db1-000d3a5a6937,Requirement Change,baseentitytypecode,duplicaterule,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886062259,1033,11553,1001,FALSE,2022-09-21T11:01:23.472Z
fbafd21a-4e34-ed11-9db1-000d3a5a6937,Requirement Change,baseentitytypecode,similarityrule,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886059875,1033,11553,1001,FALSE,2022-09-21T11:01:23.472Z
89300627-4e34-ed11-9db1-000d3a5a6937,Requirement Change,msdyn_EntityOTC,msdyn_callablecontext,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886062932,1033,11553,1001,FALSE,2022-09-21T11:01:23.472Z
f7afd21a-4e34-ed11-9db1-000d3a5a6937,Requirement Change,objecttypecode,sla,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886059144,1033,11553,1001,FALSE,2022-09-21T11:01:23.472Z
e1b96026-4b32-ed11-9db0-00224809bc8a,Inactive,statecode,DeletedEntity for objectTypeCode=11567,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1883554346,1033,1,2,FALSE,2022-09-21T11:01:26.058Z
dfb96026-4b32-ed11-9db0-00224809bc8a,Inactive,statuscode,DeletedEntity for objectTypeCode=11567,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1883554344,1033,2,2,FALSE,2022-09-21T11:01:26.058Z
6a806986-4432-ed11-9db0-00224809bc8a,Sync Synapse Tables Schema,operationtype,asyncoperation,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1883517015,1033,307,96,FALSE,2022-09-21T11:01:26.058Z
e0b96026-4b32-ed11-9db0-00224809bc8a,Active,statecode,DeletedEntity for objectTypeCode=11567,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1883554345,1033,0,1,FALSE,2022-09-21T11:01:26.058Z
deb96026-4b32-ed11-9db0-00224809bc8a,Active,statuscode,DeletedEntity for objectTypeCode=11567,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1883554343,1033,1,1,FALSE,2022-09-21T11:01:26.058Z
b5b79f46-b030-ed11-9db0-00224809bf1b,Sales Accelerator Mail Notification to Admin,msdyn_featurename,msdyn_recurringsalesaction,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1881964641,1033,5,6,FALSE,2022-09-21T11:01:26.058Z
b7b79f46-b030-ed11-9db0-00224809bf1b,Scheduled DataHygiene Validation,msdyn_featurename,msdyn_recurringsalesaction,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1881964643,1033,7,8,FALSE,2022-09-21T11:01:26.058Z
4fdc8cfb-b530-ed11-9db0-00224809bf1b,Advanced To Other Sequence,msdyn_deactivatereason,msdyn_sequencetarget,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1881995221,1033,5,6,FALSE,2022-09-21T11:01:26.058Z
b6b79f46-b030-ed11-9db0-00224809bf1b,Scheduled DataHygiene Validation Trigger,msdyn_featurename,msdyn_recurringsalesaction,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1881964642,1033,6,7,FALSE,2022-09-21T11:01:26.058Z
4edc8cfb-b530-ed11-9db0-00224809bf1b,Sequence Completed,msdyn_deactivatereason,msdyn_sequencetarget,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1881995220,1033,4,5,FALSE,2022-09-21T11:01:26.058Z
582253f2-1ff9-ea11-a815-000d3a19b60d,Inactive,statuscode,msdyn_purchaseordersubstatus,e37e225e-06b3-4bbd-a655-5746a6ec18a0,581970213,1033,2,2,FALSE,2022-09-21T11:01:19.925Z
1e643f8e-e6df-ec11-bb3d-0022480c5711,Active,statuscode,DeletedEntity for objectTypeCode=11164,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1734293150,1033,1,1,FALSE,2022-09-21T11:01:26.067Z
3652e6ea-90bb-e811-a962-000d3a199c1e,Completed,msevtmgt_schedulesessions,msevtmgt_event,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1048473,1033,100000003,3,FALSE,2022-09-21T11:01:18.946Z
fef81ebe-3938-ec11-b6e6-0022480b22dc,Keywords Description Suggestion Setting,matchingentitytypecode,similarityrule,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1850056969,1033,11266,219,FALSE,2022-09-21T11:01:26.061Z
7fbc3f87-5ec6-e811-a95a-000d3a1d7430,Strike Team Leader,vms_typeoftraining,vms_eventinstructor,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1395996,1033,178320000,2,FALSE,2022-09-21T11:01:21.363Z
e72f95d3-3fcc-ea11-a812-000d3a1914a7,Royal Canadian Navy,vms_branchofservice,contact,e37e225e-06b3-4bbd-a655-5746a6ec18a0,487791785,1033,178320019,6,FALSE,2022-09-21T11:01:17.96Z
77b00233-32b3-e811-a977-000d3a180d94,Check-in,type,post,e37e225e-06b3-4bbd-a655-5746a6ec18a0,608650,1033,1,1,FALSE,2022-09-21T11:01:16.995Z
80a5084e-b609-ec11-b6e6-0022480a2f56,Session Participant Data (Deprecated),msdyn_EntityOTC,msdyn_callablecontext,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1850061746,1033,11194,754,FALSE,2022-09-21T11:01:26.059Z
058aa24d-6d38-ea11-a813-000d3a1914a7,No,vms_fortified,bookableresource,e37e225e-06b3-4bbd-a655-5746a6ec18a0,119438389,1033,0,1,FALSE,2022-09-21T11:01:17.96Z
588bfb4c-81de-eb11-bacb-000d3a32f3e1,Internal error,msdyncrm_domainalignmentvalidationstatus,msdyncrm_setupdomain,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1129670240,1033,32,8,FALSE,2022-09-21T11:01:23.454Z
3a049116-90bb-e811-a962-000d3a199c1e,Yes,msdyncrm_isinstallcomplete,msdyncrm_digitalassetsconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,993306,1033,1,2,FALSE,2022-09-21T11:01:18.943Z
457e262a-3db3-e811-a977-000d3a180d94,No,leftvoicemail,incidentresolution,e37e225e-06b3-4bbd-a655-5746a6ec18a0,614889,1033,0,1,FALSE,2022-09-21T11:01:17.933Z
e378a470-2cf5-eb11-94ef-000d3a339783,Inactive,statuscode,msnfp_specification,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1191163444,1033,2,2,FALSE,2022-09-21T11:01:23.459Z
1afc96f1-de6e-e911-a980-000d3a1a9bf6,Security,msdyn_category,msdyn_analysisresult,e37e225e-06b3-4bbd-a655-5746a6ec18a0,90891702,1033,192350003,6,FALSE,2022-09-21T11:01:21.347Z
62bc3f87-5ec6-e811-a95a-000d3a1d7430,MM,wipfli_datetimeformat,wipfli_autonumberconfiguration,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1395971,1033,7,8,FALSE,2022-09-21T11:01:21.363Z
23f20d8f-c09b-ec11-b400-000d3a3252ab,GroupMe,community,msfp_surveyresponse,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1604688287,1033,10,6,FALSE,2022-09-21T11:01:22.365Z
3e406921-3b9b-ec11-b400-000d3a3084bf,Microsoft Teams,community,socialprofile,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1604688244,1033,7,3,FALSE,2022-09-21T11:01:22.356Z
a4ca424c-32b3-e811-a977-000d3a180d94,Goal Metric,targetentity,importmap,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1886056930,1033,9603,1159,FALSE,2022-09-21T11:01:17.06Z
ee613f8e-e6df-ec11-bb3d-0022480c5711,Mail,msnfp_ga_deliverycode,DeletedEntity for objectTypeCode=11148,e37e225e-06b3-4bbd-a655-5746a6ec18a0,1734292590,1033,844060002,3,FALSE,2022-09-21T11:01:26.064Z
